id	name	class	increase	decrease	core_to_inter	core_to_rare	core_to_absent	inter_to_core	inter_to_rare	inter_to_absent	rare_to_core	rare_to_inter	rare_to_absent	absent_to_rare	absent_to_inter	absent_to_core
60	60	Core, intermediate and rare	179.410000000001	82.5700000000002	91	0	7	158	57	26	48	125	387	112	0	0
61	61	Core, intermediate and rare	5.08	21.09	8	0	0	9	29	0	0	4	42	21	0	0
62	62	Core, intermediate and rare	8.23999999999999	14.1	26	0	0	9	11	0	0	21	71	68	0	0
63	63	Core, intermediate and rare	17.39	20.69	24	0	0	11	31	0	0	16	62	67	0	0
64	64	Core, intermediate and rare	37.7700000000002	38.77	71	0	0	5	12	0	0	52	26	162	2	0
65	65	Core, intermediate and rare	31.2800000000001	11.87	37	0	0	23	12	0	0	28	16	257	0	0
66	66	Core, intermediate and rare	171.35	28.0100000000001	28	5	0	40	15	0	0	205	79	105	0	0
67	67	Core, intermediate and rare	18.4299999999999	12.52	38	0	0	0	6	0	0	35	9	263	0	0
68	68	Core, intermediate and rare	29.3999999999999	67.7299999999999	83	5	0	5	12	0	0	52	7	125	0	0
69	69	Core, intermediate and rare	61.9699999999998	53.21	64	1	0	31	63	0	0	82	78	108	0	0
70	70	Core, intermediate and rare	260.94	112.25	10	1	0	205	89	62	15	120	204	45	0	0
71	71	Core, intermediate and rare	122.570000000001	18.55	8	0	0	243	42	15	4	6	50	165	0	0
72	72	Core, intermediate and rare	114.51	32.38	19	3	0	18	17	0	16	102	20	59	0	0
73	73	Core, intermediate and rare	206.07	110.73	33	0	1	354	59	167	32	83	457	6	0	0
74	74	Core, intermediate and rare	67.82	30.7300000000002	8	1	0	36	88	0	0	61	75	54	0	0
75	75	Core, intermediate and rare	113.52	167.32	7	0	2	289	178	149	9	43	574	5	0	0
76	76	Core, intermediate and rare	80.0099999999999	25.15	7	0	0	63	38	0	0	79	173	21	0	0
77	77	Core, intermediate and rare	52.1699999999999	51.7299999999999	34	0	0	32	50	0	0	11	18	7	0	0
78	78	Core, intermediate and rare	22.85	21.0900000000001	28	0	0	8	21	0	0	21	46	14	0	0
